Date,Price,Open,High,Low,Volume,Change %
12/16/2021,"116,000","116,000","116,000","116,000",0.13K,0.87%
12/15/2021,"115,000","115,000","115,000","115,000",0.20K,0.00%
12/14/2021,"115,000","113,000","115,000","113,000",1.00K,1.77%
12/10/2021,"113,000","112,500","113,000","112,500",0.50K,0.00%
12/9/2021,"113,000","113,000","113,000","113,000",1.30K,0.00%
12/8/2021,"113,000","113,000","113,000","113,000",0.20K,0.44%
12/7/2021,"112,500","112,500","112,500","112,000",0.30K,0.00%
12/6/2021,"112,500","112,600","112,600","112,500",0.40K,-0.09%
12/3/2021,"112,600","112,800","112,800","112,600",0.50K,-0.18%
12/2/2021,"112,800","112,800","112,800","112,800",0.40K,-3.59%
11/29/2021,"117,000","117,000","117,000","117,000",0.40K,0.00%
11/26/2021,"117,000","114,800","117,000","114,800",2.70K,1.92%
11/25/2021,"114,800","115,000","115,000","114,800",1.34K,0.17%
11/24/2021,"114,600","114,600","116,000","114,500",8.00K,0.09%
11/23/2021,"114,500","114,900","114,900","114,500",10.18K,-0.35%
11/22/2021,"114,900","114,900","114,900","114,900",6.51K,0.00%
11/19/2021,"114,900","103,500","117,500","103,500",1.40K,0.00%
11/18/2021,"114,900","115,100","115,100","114,900",1.20K,-0.09%
11/17/2021,"115,000","115,100","116,500","115,000",4.53K,0.00%
11/16/2021,"115,000","115,000","115,000","115,000",0.10K,-3.36%
11/12/2021,"119,000","104,100","119,000","104,100",0.30K,2.94%
11/11/2021,"115,600","115,600","115,600","115,000",4.11K,0.00%
11/10/2021,"115,600","104,200","115,600","104,200",3.20K,0.00%
11/9/2021,"115,600","115,600","115,600","115,600",0.60K,9.99%
11/8/2021,"105,100","105,100","105,100","105,100",0.10K,-9.47%
11/4/2021,"116,100","104,400","116,100","104,400",0.51K,0.09%
11/3/2021,"116,000","116,000","116,000","115,500",0.40K,-1.61%
11/1/2021,"117,900","116,000","117,900","116,000",0.42K,1.64%
10/29/2021,"116,000","116,000","116,000","116,000",1.00K,0.00%
10/28/2021,"116,000","116,000","116,000","116,000",0.10K,0.00%
10/27/2021,"116,000","116,000","116,000","116,000",0.32K,0.00%
10/26/2021,"116,000","116,000","116,000","116,000",0.10K,0.00%
10/25/2021,"116,000","116,000","116,000","115,800",1.60K,0.00%
10/22/2021,"116,000","114,000","116,000","114,000",0.20K,0.00%
10/20/2021,"116,000","113,000","119,000","112,600",0.60K,0.87%
10/19/2021,"115,000","132,000","132,000","115,000",0.20K,-4.17%
10/15/2021,"120,000","126,500","126,500","118,000",3.76K,4.35%
10/14/2021,"115,000","115,000","115,000","115,000",0.20K,-0.86%
10/13/2021,"116,000","116,000","116,000","116,000",0.30K,0.00%
10/12/2021,"116,000","116,000","116,000","116,000",1.00K,-1.53%
10/11/2021,"117,800","117,800","117,800","117,800",0.10K,0.68%
10/8/2021,"117,000","117,000","117,000","117,000",0.20K,0.00%
10/7/2021,"117,000","117,900","117,900","117,000",1.02K,-0.76%
10/5/2021,"117,900","117,900","117,900","117,900",0.40K,-0.08%
10/4/2021,"118,000","118,000","118,000","118,000",1.30K,0.00%
10/1/2021,"118,000","118,000","118,000","118,000",0.20K,1.29%
9/29/2021,"116,500","116,500","116,500","116,500",0.10K,0.00%
9/28/2021,"116,500","116,500","116,500","116,500",0.10K,-1.10%
9/27/2021,"117,800","118,000","118,000","117,800",0.80K,-0.17%
9/24/2021,"118,000","118,000","118,000","118,000",1.71K,-0.51%
9/23/2021,"118,600","118,000","118,600","118,000",0.21K,1.37%
9/22/2021,"117,000","117,000","117,000","117,000",0.50K,-0.76%
9/21/2021,"117,900","118,000","118,000","116,500",1.00K,-0.08%
9/20/2021,"118,000","118,000","118,000","117,000",1.91K,0.43%
9/17/2021,"117,500","117,500","117,500","117,500",0.80K,-2.08%
9/14/2021,"120,000","120,000","120,000","120,000",1.04K,0.00%
9/10/2021,"120,000","120,000","120,000","120,000",0.11K,0.00%
9/9/2021,"120,000","119,900","120,000","119,900",1.50K,0.84%
9/8/2021,"119,000","116,500","120,100","116,500",0.80K,2.15%
9/7/2021,"116,500","116,600","116,600","116,500",0.30K,0.00%
9/6/2021,"116,500","116,500","116,600","116,400",1.33K,0.26%
9/1/2021,"116,200","115,100","117,500","115,000",1.40K,-3.17%
8/31/2021,"120,000","120,000","120,000","117,400",1.80K,3.45%
8/30/2021,"116,000","116,000","116,000","116,000",1.21K,9.95%
8/27/2021,"105,500","113,000","115,000","104,800",5.60K,-9.05%
8/26/2021,"116,000","119,000","119,000","116,000",0.60K,-2.52%
8/24/2021,"119,000","119,000","119,000","119,000",0.10K,0.00%
8/23/2021,"119,000","119,000","119,000","119,000",0.20K,0.85%
8/20/2021,"118,000","116,000","120,000","116,000",0.50K,0.00%
8/18/2021,"118,000","116,600","118,000","116,600",0.40K,1.20%
8/17/2021,"116,600","116,100","116,600","116,100",0.21K,0.95%
8/16/2021,"115,500","115,500","115,500","115,500",0.20K,-5.94%
8/13/2021,"122,800","122,800","122,800","122,800",1.10K,-0.16%
8/11/2021,"123,000","123,000","123,000","123,000",0.41K,0.00%
8/10/2021,"123,000","116,900","123,800","116,900",8.30K,5.13%
8/9/2021,"117,000","117,000","117,000","115,000",0.90K,1.74%
8/5/2021,"115,000","115,000","115,000","115,000",0.10K,0.17%
8/4/2021,"114,800","113,000","114,800","113,000",0.30K,0.70%
8/3/2021,"114,000","114,000","114,000","114,000",0.10K,-2.56%
8/2/2021,"117,000","116,500","117,000","116,500",3.71K,6.17%
7/30/2021,"110,200","106,600","110,200","106,600",1.40K,-6.61%
7/28/2021,"118,000","118,000","118,000","118,000",0.71K,0.00%
7/26/2021,"118,000","117,500","118,000","117,500",0.30K,0.43%
7/23/2021,"117,500","117,500","117,500","117,500",0.67K,0.00%
7/20/2021,"117,500","115,500","117,500","115,000",1.20K,2.17%
7/19/2021,"115,000","117,000","117,000","115,000",1.50K,-2.54%
7/16/2021,"118,000","120,000","120,000","118,000",0.40K,2.08%
7/15/2021,"115,600","115,700","115,700","115,600",2.00K,-3.67%
7/14/2021,"120,000","121,000","121,000","120,000",1.60K,-2.04%
7/13/2021,"122,500","123,000","123,000","120,000",0.40K,2.08%
7/12/2021,"120,000","120,000","120,000","119,000",8.30K,-2.83%
7/8/2021,"123,500","123,100","123,500","110,700",2.74K,0.41%
7/7/2021,"123,000","116,000","123,000","116,000",6.51K,3.27%
7/6/2021,"119,100","120,000","120,000","119,100",0.71K,-1.16%
